embedding,rule,cfg,capture,recov,noise_pct,nzcls_to_noise,n_clusters,completeness,homogeneity,ami,ari,capture_detail
FCMAE_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.0345,0.0345,0.0,0.0,1,0.0,0.0,0.0,0.0,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
FCMAE_frozen,hdb_unsup_sel,mcs20_ms5_eom_e0.0,0.0345,0.0345,0.0,0.0,1,0.0,0.0,0.0,0.0,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 0.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
FCMAE_frozen,hdb_dbcv_sel,mcs20_ms10_leaf_e0.0,0.1379,0.0731,72.83,3.0,4,0.9663,0.3575,0.5024,0.2098,"{""C+EL"": 0.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 0.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 1.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 0.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 1.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 1.0}"
FCMAE_frozen,hdb_oracle,mcs5_ms5_leaf_e0.0,0.3448,0.0503,93.59,23.0,11,0.8829,0.7894,0.7552,0.6722,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 1.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 1.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 1.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 1.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 1.0, ""ER+L+S"": 0.0, ""ER+S"": 1.0, ""L+S"": 1.0}"
FCMAE_frozen,kmeans_khat(k̂=2),silhouette-k,,,0.0,,2,,,,0.0387,
umap10+FCMAE_frozen,hdb_default,mcs20_ms5_eom_e0.0,0.1379,0.1145,0.0,0.0,4,0.8628,0.2935,0.4303,0.1166,"{""C+EL"": 0.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 1.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 1.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
umap10+FCMAE_frozen,hdb_unsup_sel,mcs40_ms3_eom_e0.0,0.1034,0.1034,0.0,0.0,3,0.8848,0.2856,0.4268,0.1151,"{""C+EL"": 0.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 1.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
umap10+FCMAE_frozen,hdb_dbcv_sel,mcs40_ms3_eom_e0.0,0.1034,0.1034,0.0,0.0,3,0.8848,0.2856,0.4268,0.1151,"{""C+EL"": 0.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 0.0, ""C+ER"": 1.0, ""C+ER+L"": 0.0, ""C+ER+L+S"": 0.0, ""C+ER+S"": 0.0, ""C+L"": 0.0, ""C+L+S"": 0.0, ""C+S"": 0.0, ""D+EL"": 1.0, ""D+EL+L"": 0.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 0.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 0.0, ""D+ER+S"": 0.0, ""D+L"": 0.0, ""D+L+S"": 0.0, ""D+S"": 0.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 0.0, ""ER+L+S"": 0.0, ""ER+S"": 0.0, ""L+S"": 0.0}"
umap10+FCMAE_frozen,hdb_oracle,mcs20_ms10_leaf_e0.0,0.5862,0.3041,39.38,0.0,23,0.6795,0.6266,0.6022,0.3951,"{""C+EL"": 1.0, ""C+EL+L"": 0.0, ""C+EL+L+S"": 0.0, ""C+EL+S"": 1.0, ""C+ER"": 1.0, ""C+ER+L"": 1.0, ""C+ER+L+S"": 1.0, ""C+ER+S"": 0.0, ""C+L"": 1.0, ""C+L+S"": 0.0, ""C+S"": 1.0, ""D+EL"": 0.0, ""D+EL+L"": 1.0, ""D+EL+L+S"": 0.0, ""D+EL+S"": 0.0, ""D+ER"": 1.0, ""D+ER+L"": 0.0, ""D+ER+L+S"": 1.0, ""D+ER+S"": 1.0, ""D+L"": 1.0, ""D+L+S"": 0.0, ""D+S"": 1.0, ""EL+L"": 1.0, ""EL+L+S"": 0.0, ""EL+S"": 0.0, ""ER+L"": 1.0, ""ER+L+S"": 0.0, ""ER+S"": 1.0, ""L+S"": 1.0}"
umap10+FCMAE_frozen,kmeans_khat(k̂=5),silhouette-k,,,0.0,,5,,,,0.1151,
