P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_rate,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,recipe,epoch,threshold,embedding,label,embedding_mtime_ns,method,p1_nonregress,p2_nonregress,p3_nonregress,p4_nonregress,ari_nonregress,sil_nonregress,primary_gate,core_gate
0.8125,26,32,1.0,0.0,0.7154,0.7564,0.4944,0.7144,0.2226268053054809,52,32,10,1.625,unkda_base,5,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep5.npy,SimCLR base,1783649143288596000,finch_p2,False,True,False,False,False,False,False,False
0.7812,25,32,1.0,0.0,0.705,0.7708,0.5154,0.7151,0.3013630211353302,55,32,11,1.71875,unkda_base,5,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep5.npy,SimCLR base,1783649143288596000,louvain_res6,False,True,False,False,False,False,False,False
0.7188,23,32,1.0,0.0,0.7718,0.7782,0.5433,0.7599,0.2542186677455902,45,32,11,1.40625,unkda_base,6,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep6.npy,SimCLR base,1783650286471532900,finch_p2,False,True,False,False,False,False,False,False
0.8438,27,32,1.0,0.0,0.7397,0.8063,0.585,0.7533,0.3408904671669006,55,32,12,1.71875,unkda_base,6,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep6.npy,SimCLR base,1783650286471532900,louvain_res6,False,True,False,False,False,False,False,False
0.7812,25,32,1.0,0.0,0.7862,0.7951,0.4854,0.775,0.2395607531070709,47,32,7,1.46875,unkda_base,7,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep7.npy,SimCLR base,1783651261929974100,finch_p2,False,True,False,False,False,False,False,False
0.8438,27,32,1.0,0.0,0.7717,0.838,0.6265,0.7881,0.3420788049697876,54,32,12,1.6875,unkda_base,7,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep7.npy,SimCLR base,1783651261929974100,louvain_res6,False,True,False,False,False,False,False,False
0.8125,26,32,1.0,0.0,0.7874,0.7959,0.5336,0.7776,0.2532956898212433,45,32,8,1.40625,unkda_base,8,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep8.npy,SimCLR base,1783652272182117400,finch_p2,False,True,False,False,False,False,False,False
0.875,28,32,1.0,0.0,0.7748,0.8131,0.608,0.7792,0.302436888217926,45,32,9,1.40625,unkda_base,8,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep8.npy,SimCLR base,1783652272182117400,louvain_res6,False,True,False,False,False,False,False,False
0.625,20,32,1.0,0.0,0.744,0.7361,0.4803,0.7239,0.2228292822837829,40,32,8,1.25,unkda_base,9,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep9.npy,SimCLR base,1783653269759089200,finch_p2,False,True,False,False,False,False,False,False
0.8438,27,32,1.0,0.0,0.7186,0.7784,0.5625,0.7285,0.265540212392807,48,32,7,1.5,unkda_base,9,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep9.npy,SimCLR base,1783653269759089200,louvain_res6,False,True,False,False,False,False,False,False
0.75,24,32,1.0,0.0,0.7141,0.736,0.5026,0.706,0.2498696744441986,44,32,5,1.375,unkda_base,10,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep10.npy,SimCLR base,1783654261139970000,finch_p2,False,True,False,False,False,False,False,False
0.7812,25,32,1.0,0.0,0.7089,0.7578,0.5587,0.7132,0.302016019821167,47,32,8,1.46875,unkda_base,10,,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_base_ep10.npy,SimCLR base,1783654261139970000,louvain_res6,False,True,False,False,False,False,False,False
0.9688,31,32,1.0,0.0,0.7955,0.8836,0.64,0.8229,0.3752869367599487,66,32,18,2.0625,unkda_nv050,1,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1.npy,NV 0.50,1783666234698892300,finch_p2,True,True,False,False,False,True,False,False
0.9688,31,32,1.0,0.0,0.8131,0.8914,0.6731,0.8384,0.4359631240367889,62,32,16,1.9375,unkda_nv050,1,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep1.npy,NV 0.50,1783666234698892300,louvain_res6,True,True,False,False,False,True,False,False
0.9375,30,32,1.0,0.0,0.8175,0.8823,0.6729,0.8369,0.3040313720703125,60,32,14,1.875,unkda_nv050,2,0.5,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv050_ep2.npy,NV 0.50,1783667167025316300,finch_p2,True,True,False,False,False,False,False,False
