protocol_id,recipe,recipe_flags,seed,epoch,embedding_space,clusterer,clusterer_detail,P1_capture_count,P1_target_class_count,P1_capture,dominant_cluster_count,recov,P2_noise_pct,P3_completeness,P4_homogeneity,k_total,k_target_classes,k_excluded_dominant,fragment_ratio,Sil,ARI_supporting,AMI_supporting,embedding_path,embedding_sha256,embedding_rows,embedding_dim,eval_dir,eval_manifest_sha256,train_dir,train_manifest_sha256,scorer_bundle_sha256,exclude_classes
250f35c91b9c7db88e580640a87806ddaa72a80aec1336f1bd061faa1fc308b2,L0_base_ep4,adapter; pure SimCLR B0; fixed epoch4; embedding_source=generated,1,4,adapted_f,FINCH-p2,finch_p2(k61),29,32,0.9062,60,0.8347,0.0,0.8903,0.9459,61,32,17,1.9062,0.3857,0.7665,0.9111,D:\project\unknown-contrastive\runs\fcmae_adapter_ep4_three_seed_260721\embeddings\fcmae_ad1_s1_ep4.npy,0a4f7332a440b2fd71142e4b4dce6c1c47334a482453fae5f283e644f74fb264,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,6f9d0843d71f29ab6c8e3468b7c1209c6cf854def3ece9d886dd9e08d205051f,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
250f35c91b9c7db88e580640a87806ddaa72a80aec1336f1bd061faa1fc308b2,L0_base_ep4,adapter; pure SimCLR B0; fixed epoch4; embedding_source=generated,1,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,52,0.9366,0.0,0.9391,0.9717,52,32,13,1.625,0.4544,0.8841,0.9522,D:\project\unknown-contrastive\runs\fcmae_adapter_ep4_three_seed_260721\embeddings\fcmae_ad1_s1_ep4.npy,0a4f7332a440b2fd71142e4b4dce6c1c47334a482453fae5f283e644f74fb264,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,6f9d0843d71f29ab6c8e3468b7c1209c6cf854def3ece9d886dd9e08d205051f,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
250f35c91b9c7db88e580640a87806ddaa72a80aec1336f1bd061faa1fc308b2,L0_base_ep4,adapter; pure SimCLR B0; fixed epoch4; embedding_source=generated,3,4,adapted_f,FINCH-p2,finch_p2(k60),30,32,0.9375,59,0.8944,0.0,0.8938,0.964,60,32,13,1.875,0.3727,0.8073,0.9219,D:\project\unknown-contrastive\runs\fcmae_adapter_ep4_three_seed_260721\embeddings\fcmae_ad1_s3_ep4.npy,fbb07f5271380b6a2af3648da1ca17e6b3de677875c62f317cee68a0999e16f7,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,6f9d0843d71f29ab6c8e3468b7c1209c6cf854def3ece9d886dd9e08d205051f,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
250f35c91b9c7db88e580640a87806ddaa72a80aec1336f1bd061faa1fc308b2,L0_base_ep4,adapter; pure SimCLR B0; fixed epoch4; embedding_source=generated,3,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,52,0.9319,0.0,0.9324,0.9679,52,32,13,1.625,0.4768,0.8766,0.9466,D:\project\unknown-contrastive\runs\fcmae_adapter_ep4_three_seed_260721\embeddings\fcmae_ad1_s3_ep4.npy,fbb07f5271380b6a2af3648da1ca17e6b3de677875c62f317cee68a0999e16f7,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,6f9d0843d71f29ab6c8e3468b7c1209c6cf854def3ece9d886dd9e08d205051f,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
250f35c91b9c7db88e580640a87806ddaa72a80aec1336f1bd061faa1fc308b2,L0_base_ep4,adapter; pure SimCLR B0; fixed epoch4; embedding_source=generated,5,4,adapted_f,FINCH-p2,finch_p2(k64),32,32,1.0,64,0.9269,0.0,0.8848,0.9621,64,32,16,2.0,0.3928,0.8023,0.9156,D:\project\unknown-contrastive\runs\fcmae_adapter_ep4_three_seed_260721\embeddings\fcmae_ad1_s5_ep4.npy,b53da7f8cdb39fbd9644a60eff830fda0ccf14a1a2c3d1d08291643e612d8d6b,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,6f9d0843d71f29ab6c8e3468b7c1209c6cf854def3ece9d886dd9e08d205051f,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
250f35c91b9c7db88e580640a87806ddaa72a80aec1336f1bd061faa1fc308b2,L0_base_ep4,adapter; pure SimCLR B0; fixed epoch4; embedding_source=generated,5,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,52,0.9206,0.0,0.9337,0.9675,52,32,13,1.625,0.4629,0.8745,0.9471,D:\project\unknown-contrastive\runs\fcmae_adapter_ep4_three_seed_260721\embeddings\fcmae_ad1_s5_ep4.npy,b53da7f8cdb39fbd9644a60eff830fda0ccf14a1a2c3d1d08291643e612d8d6b,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,6f9d0843d71f29ab6c8e3468b7c1209c6cf854def3ece9d886dd9e08d205051f,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
