protocol_id,recipe,recipe_flags,seed,epoch,embedding_space,clusterer,clusterer_detail,P1_capture_count,P1_target_class_count,P1_capture,dominant_cluster_count,recov,P2_noise_pct,P3_completeness,P4_homogeneity,k_total,k_target_classes,k_excluded_dominant,fragment_ratio,Sil,ARI_supporting,AMI_supporting,embedding_path,embedding_sha256,embedding_rows,embedding_dim,eval_dir,eval_manifest_sha256,train_dir,train_manifest_sha256,scorer_bundle_sha256,exclude_classes
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,frozen,FCMAE frozen; no training,none,0,backbone_f,FINCH-p2,finch_p2(k62),32,32,1.0,62,0.9259,0.0,0.8914,0.9583,62,32,16,1.9375,0.381,0.805,0.9178,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\frozen_unknown_fcmae.npy,3b1314b52a9cdb21bf430f2fbfad94031e984a76a440c01ceaaf017a483e9c85,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,frozen,FCMAE frozen; no training,none,0,backbone_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,53,0.9309,0.0,0.9311,0.9677,53,32,13,1.6562,0.4718,0.8707,0.9457,D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\frozen_unknown_fcmae.npy,3b1314b52a9cdb21bf430f2fbfad94031e984a76a440c01ceaaf017a483e9c85,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.05,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.05; fixed seed1 epoch4,1,4,adapted_f,FINCH-p2,finch_p2(k61),29,32,0.9062,60,0.8347,0.0,0.8903,0.9459,61,32,17,1.9062,0.3857,0.7665,0.9111,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t005_s1_ep4.npy,0a4f7332a440b2fd71142e4b4dce6c1c47334a482453fae5f283e644f74fb264,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.05,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.05; fixed seed1 epoch4,1,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,52,0.9366,0.0,0.9391,0.9717,52,32,13,1.625,0.4544,0.8841,0.9522,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t005_s1_ep4.npy,0a4f7332a440b2fd71142e4b4dce6c1c47334a482453fae5f283e644f74fb264,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.07,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.07; fixed seed1 epoch4,1,4,adapted_f,FINCH-p2,finch_p2(k59),30,32,0.9375,58,0.8756,0.0,0.8993,0.9586,59,32,15,1.8438,0.3584,0.8047,0.9227,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t007_s1_ep4.npy,f52e172b57fd13c560b3f5620b35ec99515a0999dd03c09da7dc7e031d5d15f0,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.07,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.07; fixed seed1 epoch4,1,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,53,0.9316,0.0,0.9326,0.9692,53,32,13,1.6562,0.4684,0.8741,0.9473,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t007_s1_ep4.npy,f52e172b57fd13c560b3f5620b35ec99515a0999dd03c09da7dc7e031d5d15f0,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.10,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.10; fixed seed1 epoch4,1,4,adapted_f,FINCH-p2,finch_p2(k60),32,32,1.0,60,0.9244,0.0,0.8983,0.9592,60,32,15,1.875,0.367,0.814,0.9224,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t010_s1_ep4.npy,add0e3d45ad572528a1905a58afdf9cfa6ecc0b20ec515cb8dd4a69ef3a9b501,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.10,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.10; fixed seed1 epoch4,1,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,51,0.9322,0.0,0.9422,0.9704,51,32,13,1.5938,0.4864,0.8904,0.9534,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t010_s1_ep4.npy,add0e3d45ad572528a1905a58afdf9cfa6ecc0b20ec515cb8dd4a69ef3a9b501,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.20,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.20; fixed seed1 epoch4,1,4,adapted_f,FINCH-p2,finch_p2(k58),32,32,1.0,58,0.9,0.0,0.8952,0.9515,58,32,14,1.8125,0.4053,0.8046,0.9168,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t020_s1_ep4.npy,21c5e17cf8e3e02b7db9afabd0e9dc207f0fa9ee43b9f29c0855d4161ffd6a7a,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
3700fb4d056fa8646439121a01d53f847541fca334592d9591ccb456bd7d0856,adapter_temp_0.20,no-TAPT FCMAE frozen backbone; residual adapter; pure SimCLR; temperature=0.20; fixed seed1 epoch4,1,4,adapted_f,Louvain-res6,k15/res6/seed42/size<=2-noise,31,32,0.9688,53,0.9416,0.0,0.934,0.9716,53,32,13,1.6562,0.4708,0.8854,0.9493,D:\project\unknown-contrastive\runs\fcmae_adapter_temperature_screen_260725\embeddings\fcmae_ad1_t020_s1_ep4.npy,21c5e17cf8e3e02b7db9afabd0e9dc207f0fa9ee43b9f29c0855d4161ffd6a7a,4149,1024,D:\project\unknown-contrastive\data\images\unknown_eval100,e57acedb23dcc18f8af6791d2904dd4bf96c5bac15a781624f44d81449d096db,D:\project\unknown-contrastive\data\images\unknown_train_defectaware_260710,7bd2aa017015f811ad5253b8d90a66bfcbe8eaaef7de429c01b0213a837d0dbc,2a4e724c0fa63b90e72f38043564f8e53e993f65e0ff546b938b3883f403bf92,"Normal,Random,R,Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,ParallelScratches,RingDots"
