embedding,embedding_name,method,P1_capture,recov,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,exclude_classes,recipe,epoch,nv_threshold,embedding_space,method_family
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep4.npy,unkda_nv090_ep4,finch_p3(k17),0.4688,0.3809,0.0,0.8148,0.6014,0.3526,0.6843,0.3044,17,32,3,0.53,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,4,0.9,backbone,finch_p3(k17)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep4.npy,unkda_nv090_ep4,hdbscan_raw(옛다이얼),0.5,0.3287,57.45,0.9,0.8579,0.6992,0.8689,0.6264,25,32,5,0.78,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,4,0.9,backbone,hdbscan_raw(옛다이얼)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep4.npy,unkda_nv090_ep4,louvain_res6,1.0,0.6909,0.0,0.6866,0.7623,0.5452,0.6991,0.2704,57,32,8,1.78,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,4,0.9,backbone,louvain_res6
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep5.npy,unkda_nv090_ep5,finch_p0(k866),1.0,0.7863,0.0,0.4705,0.8736,0.0731,0.3597,0.0619,866,32,205,27.06,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,5,0.9,backbone,finch_p0(k866)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep5.npy,unkda_nv090_ep5,finch_p1(k189),1.0,0.6734,0.0,0.544,0.7752,0.2353,0.5535,0.0853,189,32,34,5.91,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,5,0.9,backbone,finch_p1(k189)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep5.npy,unkda_nv090_ep5,finch_p2(k50),0.875,0.5706,0.0,0.6787,0.7176,0.4316,0.6745,0.2323,50,32,8,1.56,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,5,0.9,backbone,finch_p2
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep5.npy,unkda_nv090_ep5,finch_p3(k15),0.4375,0.3841,0.0,0.8714,0.6169,0.3586,0.7159,0.3064,15,32,3,0.47,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,5,0.9,backbone,finch_p3(k15)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep5.npy,unkda_nv090_ep5,hdbscan_raw(옛다이얼),0.5,0.3569,50.59,0.898,0.8199,0.5963,0.8454,0.5776,28,32,4,0.88,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,5,0.9,backbone,hdbscan_raw(옛다이얼)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep5.npy,unkda_nv090_ep5,louvain_res6,0.9688,0.6319,0.0,0.6568,0.7371,0.4571,0.6674,0.2874,58,32,10,1.81,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,5,0.9,backbone,louvain_res6
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep6.npy,unkda_nv090_ep6,finch_p0(k847),1.0,0.7969,0.0,0.4721,0.8765,0.0648,0.364,0.0708,847,32,198,26.47,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,6,0.9,backbone,finch_p0(k847)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep6.npy,unkda_nv090_ep6,finch_p1(k165),1.0,0.6703,0.0,0.5615,0.7705,0.2788,0.5754,0.0961,165,32,26,5.16,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,6,0.9,backbone,finch_p1(k165)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep6.npy,unkda_nv090_ep6,finch_p2(k39),0.8125,0.5731,0.0,0.7342,0.7131,0.4347,0.7066,0.198,39,32,5,1.22,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,6,0.9,backbone,finch_p2
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep6.npy,unkda_nv090_ep6,finch_p3(k11),0.3438,0.3303,0.0,0.8998,0.5809,0.3037,0.7006,0.3198,11,32,2,0.34,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,6,0.9,backbone,finch_p3(k11)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep6.npy,unkda_nv090_ep6,hdbscan_raw(옛다이얼),0.5,0.3194,56.18,0.9143,0.8294,0.6396,0.859,0.5654,25,32,3,0.78,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,6,0.9,backbone,hdbscan_raw(옛다이얼)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep6.npy,unkda_nv090_ep6,louvain_res6,0.9062,0.6231,0.0,0.6681,0.7465,0.5005,0.6798,0.278,56,32,9,1.75,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,6,0.9,backbone,louvain_res6
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep7.npy,unkda_nv090_ep7,finch_p0(k859),1.0,0.7984,0.0,0.4725,0.8775,0.0647,0.3652,0.0725,859,32,203,26.84,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,7,0.9,backbone,finch_p0(k859)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep7.npy,unkda_nv090_ep7,finch_p1(k174),1.0,0.6894,0.0,0.5611,0.7826,0.2566,0.5771,0.0894,174,32,38,5.44,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,7,0.9,backbone,finch_p1(k174)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep7.npy,unkda_nv090_ep7,finch_p2(k45),0.875,0.6275,0.0,0.7281,0.7438,0.4814,0.7177,0.2541,45,32,6,1.41,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,7,0.9,backbone,finch_p2
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep7.npy,unkda_nv090_ep7,finch_p3(k15),0.4375,0.3569,0.0,0.8623,0.5767,0.2662,0.6837,0.3037,15,32,2,0.47,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,7,0.9,backbone,finch_p3(k15)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep7.npy,unkda_nv090_ep7,hdbscan_raw(옛다이얼),0.4688,0.3253,52.68,0.9169,0.7959,0.5891,0.8408,0.5682,24,32,2,0.75,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,7,0.9,backbone,hdbscan_raw(옛다이얼)
D:\project\unknown-contrastive\result_grouping\_unknown_mixed260710\embeddings\unkda_nv090_ep7.npy,unkda_nv090_ep7,louvain_res6,0.9375,0.6312,0.0,0.6768,0.7504,0.5022,0.6883,0.2865,53,32,7,1.66,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots",unkda_nv090,7,0.9,backbone,louvain_res6
