dataset,role,recipe,embedding,embedding_name,method,P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_count,legacy_presence_rate,recov,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,exclude_classes,protocol,label,primary_prefix,core_gate
DTD,frozen,DINOv3 frozen,D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_dtd.npy,frozen_dtd,finch_p1(k75),0.9149,43,47,47,1.0,0.5654,0.0,0.6407,0.6791,0.3242,0.5682,0.1891,75,47,0,1.6,"Normal,R,Random",transductive self-adaptation,frozen,finch_p1(,True
DTD,candidate,"SimCLR + queue4096 + ignore0.75, seed3 ep8",D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\dtd75_s3_ep8.npy,dtd75_s3_ep8,finch_p1(k88),0.9787,46,47,47,1.0,0.6809,0.0,0.687,0.7621,0.4218,0.6376,0.2352,88,47,0,1.87,"Normal,R,Random",transductive self-adaptation,candidate,finch_p1(,True
RESISC45,frozen,DINOv3 frozen,D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_rs.npy,frozen_rs,finch_p1(k67),0.9778,44,45,45,1.0,0.6817,0.0,0.7363,0.7694,0.4496,0.6907,0.1709,67,45,0,1.49,"Normal,R,Random",transductive self-adaptation,frozen,finch_p1(,True
RESISC45,candidate,"SimCLR + queue4096 + ignore0.75, seed3 ep6",D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\rs75_s3_ep6.npy,rs75_s3_ep6,finch_p1(k80),0.9778,44,45,45,1.0,0.8,0.0,0.7715,0.8605,0.587,0.7583,0.2339,80,45,0,1.78,"Normal,R,Random",transductive self-adaptation,candidate,finch_p1(,True
WM-811K,frozen,DINOv3 frozen,D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_wm.npy,frozen_wm,finch_p2(k28),1.0,7,7,7,1.0,0.5975,0.0,0.267,0.4348,0.1492,0.3237,0.0572,28,7,4,4.0,"Normal,R,Random",strict-novel / Normal-only train,frozen,finch_p2(,True
WM-811K,candidate,"SimCLR + queue4096 + local0.3 + ignore0.75, seed4 ep8",D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\wm_l03_ig75_s4_ep8.npy,wm_l03_ig75_s4_ep8,finch_p2(k18),1.0,7,7,7,1.0,0.6444,0.0,0.4482,0.5198,0.3327,0.4774,-0.0101,18,7,4,2.57,"Normal,R,Random",strict-novel / Normal-only train,candidate,finch_p2(,True
