embedding,embedding_name,method,P1_capture,P1_capture_count,P1_target_class_count,legacy_presence_count,legacy_presence_rate,recov,P2_noise_pct,P3_completeness,P4_homogeneity,ARI,AMI,Sil,k_total,k_classes,k_noise,fragment_ratio,exclude_classes
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,frozen_unknown_dinov3_grade_only_260709,finch_p0(k819),1.0,32,32,32,1.0,0.9303,0.0,0.5339,0.9662,0.1113,0.5035,0.0568,819,32,186,25.59,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,frozen_unknown_dinov3_grade_only_260709,finch_p1(k192),1.0,32,32,32,1.0,0.8778,0.0,0.6651,0.9309,0.3778,0.7264,0.1404,192,32,41,6.0,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,frozen_unknown_dinov3_grade_only_260709,finch_p2(k58),0.9375,30,32,32,1.0,0.8181,0.0,0.8302,0.8918,0.709,0.8491,0.3045,58,32,13,1.81,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,frozen_unknown_dinov3_grade_only_260709,finch_p3(k17),0.2188,7,32,32,1.0,0.2181,0.0,0.9971,0.699,0.3384,0.8169,0.3823,17,32,5,0.53,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,frozen_unknown_dinov3_grade_only_260709,louvain_res6,0.9688,31,32,32,1.0,0.8375,0.0,0.8684,0.9075,0.785,0.88,0.3775,52,32,12,1.62,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
D:\project\unknown-contrastive\result_grouping\_field_robust\embeddings\frozen_unknown_dinov3_grade_only_260709.npy,frozen_unknown_dinov3_grade_only_260709,hdbscan_raw(옛다이얼),0.5625,18,32,29,0.9062,0.4191,40.62,0.9594,0.8369,0.5687,0.8867,0.5934,31,32,7,0.97,"Center_bank_boundary,Center_scratch,Donut_bank_boundary,Donut_fork,Edge-Ring_bank_boundary,Edge-Ring_scratch,Edge-Top_fork,Full_scratch,Normal,ParallelScratches,R,Random,RingDots"
